time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000092, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000086, value: val0000000000086"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000015, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000004, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000100, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000046, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000079, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000048, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000068, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000076, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Log items flushed"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000067, value: val0000000000067"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000016, value: val0000000000016"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000097, value: val0000000000097"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000098, value: val0000000000098"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000022, value: val0000000000022"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000053, value: val0000000000053"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000033, value: val0000000000033"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000034, value: val0000000000034"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000050, value: val0000000000050"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000054, value: val0000000000054"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000056, value: val0000000000056"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000085, value: val0000000000085"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000099, value: val0000000000099"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000023, value: val0000000000023"
time="2021-03-11T16:30:43-06:00" level=info msg="Log items flushing, threshold 10 met or shutdown signal given."
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000096, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000021, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000001, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000086, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000067, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000016, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000097, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000098, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000022, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000095, value: val0000000000095"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000007, value: val0000000000007"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000042, value: val0000000000042"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000053, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Log items flushed"
time="2021-03-11T16:30:43-06:00" level=info msg="Log items flushing, threshold 10 met or shutdown signal given."
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000033, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000012, value: val0000000000012"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000034, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000050, adding new offset"
